Pair,Husband,Wife
1,186,175
2,180,168
3,160,154
4,186,166
5,163,162
6,172,152
7,192,179
8,170,163
9,174,172
10,191,170
11,182,170
12,178,147
13,181,165
14,168,162
15,162,154
16,188,166
17,168,167
18,183,174
19,188,173
20,166,164
21,180,163
22,176,163
23,185,171
24,169,161
25,182,167
26,162,160
27,169,165
28,176,167
29,180,175
30,157,157
31,170,172
32,186,181
33,180,166
34,188,181
35,153,148
36,179,169
37,175,170
38,165,157
39,156,162
40,185,174
41,172,168
42,166,162
43,179,159
44,181,155
45,176,171
46,170,159
47,165,164
48,183,175
49,162,156
50,192,180
51,185,167
52,163,157
53,185,167
54,170,157
55,176,168
56,176,167
57,160,145
58,167,156
59,157,153
60,180,162
61,172,156
62,184,174
63,185,160
64,165,152
65,181,175
66,170,169
67,161,149
68,188,176
69,181,165
70,156,143
71,161,158
72,152,141
73,179,160
74,170,149
75,170,160
76,165,148
77,165,154
78,169,171
79,171,165
80,192,175
81,176,161
82,168,162
83,169,162
84,184,176
85,171,160
86,161,158
87,185,175
88,184,174
89,179,168
90,184,177
91,175,158
92,173,161
93,164,146
94,181,168
95,187,178
96,181,170